- Storing feat: age_short, resolution: 10km, category: Unter18 (1) 
- Storing feat: age_short, resolution: 10km, category: a18bis29 (2) 
- Storing feat: age_short, resolution: 10km, category: a30bis49 (3) 
- Storing feat: age_short, resolution: 10km, category: a50bis64 (4) 
- Storing feat: age_short, resolution: 10km, category: a65undaelter (5) 
- Storing feat: age_long, resolution: 10km, category: Unter10 (1) 
- Storing feat: age_long, resolution: 10km, category: a10bis19 (2) 
- Storing feat: age_long, resolution: 10km, category: a20bis29 (3) 
- Storing feat: age_long, resolution: 10km, category: a30bis39 (4) 
- Storing feat: age_long, resolution: 10km, category: a40bis49 (5) 
- Storing feat: age_long, resolution: 10km, category: a50bis59 (6) 
- Storing feat: age_long, resolution: 10km, category: a60bis69 (7) 
- Storing feat: age_long, resolution: 10km, category: a70bis79 (8) 
- Storing feat: age_long, resolution: 10km, category: a80undaelter (9) 
- Storing feat: age_under_18, resolution: 10km, category: AnteilUnter18 (0) 
- Storing feat: age_from_65, resolution: 10km, category: AnteilUeber65 (0) 
- Storing feat: marital_status, resolution: 10km, category: Ledig (1) 
- Storing feat: marital_status, resolution: 10km, category: Verheiratet (2) 
- Storing feat: marital_status, resolution: 10km, category: Verwitwet (3) 
- Storing feat: marital_status, resolution: 10km, category: Geschieden (4) 
- Storing feat: marital_status, resolution: 10km, category: EingetrLebenspartnerschaft (5) 
- Storing feat: marital_status, resolution: 10km, category: EingetrLebenspartVerstorben (6) 
- Storing feat: marital_status, resolution: 10km, category: EingetrLebenspartAufgehoben (7) 
- Storing feat: marital_status, resolution: 10km, category: OhneAngabe (8) 
- Storing feat: families, resolution: 10km, category: families (0) 
- Storing feat: family_type, resolution: 10km, category: Ehep_ohneKind (1) 
- Storing feat: family_type, resolution: 10km, category: Ehep_mind_1Kind_unter18 (2) 
- Storing feat: family_type, resolution: 10km, category: Ehep_Kinder_ab18 (3) 
- Storing feat: family_type, resolution: 10km, category: EingetrLP_ohneKind (4) 
- Storing feat: family_type, resolution: 10km, category: EingetrLP_mind_1Kind_unter18 (5) 
- Storing feat: family_type, resolution: 10km, category: EingetrLP_Kinder_ab18 (6) 
- Storing feat: family_type, resolution: 10km, category: NichtehelLG_ohneKind (7) 
- Storing feat: family_type, resolution: 10km, category: NichtehelLG_mind_1Kind_unter18 (8) 
- Storing feat: family_type, resolution: 10km, category: NichtehelLG_Kinder_ab18 (9) 
- Storing feat: family_type, resolution: 10km, category: Vater_mind_1Kind_unter18 (10) 
- Storing feat: family_type, resolution: 10km, category: Vater_Kinder_ab18 (11) 
- Storing feat: family_type, resolution: 10km, category: Mutter_mind_1Kind_unter18 (12) 
- Storing feat: family_type, resolution: 10km, category: Mutter_Kinder_ab18 (13) 
- Storing feat: households, resolution: 10km, category: households (0) 
- Storing feat: household_size_avg, resolution: 10km, category: DurchschnHHGroesse (0) 
- Storing feat: household_size_group, resolution: 10km, category: 1_Person (1) 
- Storing feat: household_size_group, resolution: 10km, category: 2_Personen (2) 
- Storing feat: household_size_group, resolution: 10km, category: 3_Personen (3) 
- Storing feat: household_size_group, resolution: 10km, category: 4_Personen (4) 
- Storing feat: household_size_group, resolution: 10km, category: 5_Personen (5) 
- Storing feat: household_size_group, resolution: 10km, category: 6_Personen_und_mehr (6) 
- Storing feat: dwellings, resolution: 10km, category: AnzahlWohnungen (0) 
- Storing feat: rent_avg, resolution: 10km, category: durchschnMieteQM (0) 
- Storing feat: owner_occupier, resolution: 10km, category: Eigentuemerquote (0) 
- Storing feat: vacancies, resolution: 10km, category: Leerstandsquote (0) 
- Storing feat: market_vacancies, resolution: 10km, category: marktaktive_Leerstandsquote (0) 
- Storing feat: inhabitant_space, resolution: 10km, category: durchschnFlaechejeBew (0) 
- Storing feat: dwelling_space, resolution: 10km, category: durchschnFlaechejeWohn (0) 
- Storing feat: floor_space, resolution: 10km, category: unter30 (1) 
- Storing feat: floor_space, resolution: 10km, category: 30bis39 (2) 
- Storing feat: floor_space, resolution: 10km, category: 40bis49 (3) 
- Storing feat: floor_space, resolution: 10km, category: 50bis59 (4) 
- Storing feat: floor_space, resolution: 10km, category: 60bis69 (5) 
- Storing feat: floor_space, resolution: 10km, category: 70bis79 (6) 
- Storing feat: floor_space, resolution: 10km, category: 80bis89 (7) 
- Storing feat: floor_space, resolution: 10km, category: 90bis99 (8) 
- Storing feat: floor_space, resolution: 10km, category: 100bis109 (9) 
- Storing feat: floor_space, resolution: 10km, category: 110bis119 (10) 
- Storing feat: floor_space, resolution: 10km, category: 120bis129 (11) 
- Storing feat: floor_space, resolution: 10km, category: 130bis139 (12) 
