- Storing feat: dwelling_rooms, resolution: 100m, category: 2Raeume (2) 
- Storing feat: dwelling_rooms, resolution: 100m, category: 3Raeume (3) 
- Storing feat: dwelling_rooms, resolution: 100m, category: 4Raeume (4) 
- Storing feat: dwelling_rooms, resolution: 100m, category: 5Raeume (5) 
- Storing feat: dwelling_rooms, resolution: 100m, category: 6Raeume (6) 
- Storing feat: dwelling_rooms, resolution: 100m, category: 7undmehrRaeume (7) 
- Storing feat: dwelling_building_size, resolution: 100m, category: FreiEFH (1) 
- Storing feat: dwelling_building_size, resolution: 100m, category: EFH_DHH (2) 
- Storing feat: dwelling_building_size, resolution: 100m, category: EFH_Reihenhaus (3) 
- Storing feat: dwelling_building_size, resolution: 100m, category: Freist_ZFH (4) 
- Storing feat: dwelling_building_size, resolution: 100m, category: ZFH_DHH (5) 
- Storing feat: dwelling_building_size, resolution: 100m, category: ZFH_Reihenhaus (6) 
- Storing feat: dwelling_building_size, resolution: 100m, category: MFH_3bis6Wohnungen (7) 
- Storing feat: dwelling_building_size, resolution: 100m, category: MFH_7bis12Wohnungen (8) 
- Storing feat: dwelling_building_size, resolution: 100m, category: MFH_13undmehrWohnungen (9) 
- Storing feat: dwelling_building_size, resolution: 100m, category: AndererGebaeudetyp (10) 
- Storing feat: dwelling_heat_type, resolution: 100m, category: Fernheizung (1) 
- Storing feat: dwelling_heat_type, resolution: 100m, category: Etagenheizung (2) 
- Storing feat: dwelling_heat_type, resolution: 100m, category: Blockheizung (3) 
- Storing feat: dwelling_heat_type, resolution: 100m, category: Zentralheizung (4) 
- Storing feat: dwelling_heat_type, resolution: 100m, category: Einzel_Mehrraumoefen (5) 
- Storing feat: dwelling_heat_type, resolution: 100m, category: keine_Heizung (6) 
- Storing feat: dwelling_heat_src, resolution: 100m, category: Gas (1) 
- Storing feat: dwelling_heat_src, resolution: 100m, category: Heizoel (2) 
- Storing feat: dwelling_heat_src, resolution: 100m, category: Holz_Holzpellets (3) 
- Storing feat: dwelling_heat_src, resolution: 100m, category: Biomasse_Biogas (4) 
- Storing feat: dwelling_heat_src, resolution: 100m, category: Solar_Geothermie_Waermepumpen (5) 
- Storing feat: dwelling_heat_src, resolution: 100m, category: Strom (6) 
- Storing feat: dwelling_heat_src, resolution: 100m, category: Kohle (7) 
- Storing feat: dwelling_heat_src, resolution: 100m, category: Fernwaerme (8) 
- Storing feat: dwelling_heat_src, resolution: 100m, category: kein_Energietraeger (9) 
- Storing feat: buildings, resolution: 100m, category: buildings (0) 
