"code","cat"
1,"Fernheizung"
2,"Zentralheizung"
3,"Blockheizung"
4,"Etagenheizung"
5,"Einzel_Mehrraumoefen"
6,"Insgesamt_Heizungsart"
7,"keine_Heizung"
