"code","cat"
1,"EU27_Land"
2,"Deutschland"
3,"Sonstige_Welt"
4,"Ausland_Sonstige"
5,"Sonstige"
6,"Sonstiges_Europa"
7,"Insgesamt_Bevoelkerung"
