"code","cat"
1,"Insgesamt_Heizungsart"
2,"Zentralheizung"
3,"keine_Heizung"
4,"Fernheizung"
5,"Etagenheizung"
6,"Blockheizung"
7,"Einzel_Mehrraumoefen"
