"code","cat"
1,"Strom"
2,"Insgesamt_Energietraeger"
3,"Solar_Geothermie_Waermepumpen"
4,"Gas"
5,"Fernwaerme"
6,"Heizoel"
7,"Kohle"
8,"kein_Energietraeger"
9,"Biomasse_Biogas"
10,"Holz_Holzpellets"
