"code","cat"
1,"a1949bis1978"
2,"a2020undspaeter"
3,"a2011bis2019"
4,"a1919bis1948"
5,"a1991bis2000"
6,"Insgesamt_Gebaeude"
7,"a1979bis1990"
8,"a2001bis2010"
9,"Vor1919"
