"code","cat"
1,"Zentralheizung"
2,"Blockheizung"
3,"Insgesamt_Heizungsart"
4,"keine_Heizung"
5,"Fernheizung"
6,"Etagenheizung"
7,"Einzel_Mehrraumoefen"
