"code","cat"
1,"a30bis39"
2,"a60bis69"
3,"a50bis59"
4,"a40bis49"
5,"a10bis19"
6,"a80undaelter"
7,"a20bis29"
8,"a70bis79"
9,"Unter10"
10,"Insgesamt_Bevoelkerung"
