"code","cat"
1,"Geschieden"
2,"EingetrLebenspartVerstorben"
3,"OhneAngabe"
4,"EingetrLebenspartnerschaft"
5,"Ledig"
6,"Verheiratet"
7,"Verwitwet"
8,"Insgesamt_Bevoelkerung"
9,"EingetrLebenspartAufgehoben"
