"code","cat"
1,"Deutschland"
2,"Ausland_Sonstige"
3,"Sonstige"
4,"Sonstiges_Europa"
5,"EU27_Land"
6,"Sonstige_Welt"
7,"Insgesamt_Bevoelkerung"
