"code","cat"
1,"EU27_Land"
2,"Deutschland"
3,"Sonstiges_Europa"
4,"Sonstige_Welt"
5,"Sonstige"
6,"Ausland_Sonstige"
7,"Insgesamt_Bevoelkerung"
