"code","cat"
1,"EU27_Land"
2,"Sonstige_Welt"
3,"Ausland_Sonstige"
4,"Sonstige"
5,"Deutschland"
6,"Insgesamt_Bevoelkerung"
7,"Sonstiges_Europa"
