"code","cat"
1,"a20bis29"
2,"a10bis19"
3,"a80undaelter"
4,"a50bis59"
5,"a70bis79"
6,"a40bis49"
7,"a30bis39"
8,"Insgesamt_Bevoelkerung"
9,"Unter10"
10,"a60bis69"
