"code","cat"
1,"Einzel_Mehrraumoefen"
2,"Blockheizung"
3,"Zentralheizung"
4,"Insgesamt_Heizungsart"
5,"keine_Heizung"
6,"Etagenheizung"
7,"Fernheizung"
