"code","cat"
1,"Holz_Holzpellets"
2,"Heizoel"
3,"Fernwaerme"
4,"Biomasse_Biogas"
5,"Kohle"
6,"kein_Energietraeger"
7,"Solar_Geothermie_Waermepumpen"
8,"Gas"
9,"Strom"
10,"Insgesamt_Energietraeger"
