"code","cat"
1,"Fernwaerme"
2,"Solar_Geothermie_Waermepumpen"
3,"kein_Energietraeger"
4,"Kohle"
5,"Biomasse_Biogas"
6,"Heizoel"
7,"Gas"
8,"Strom"
9,"Insgesamt_Energietraeger"
10,"Holz_Holzpellets"
