"code","cat"
1,"kein_Energietraeger"
2,"Kohle"
3,"Biomasse_Biogas"
4,"Fernwaerme"
5,"Gas"
6,"Solar_Geothermie_Waermepumpen"
7,"Insgesamt_Energietraeger"
8,"Strom"
9,"Holz_Holzpellets"
10,"Heizoel"
