"code","cat"
1,"Deutschland"
2,"EU27_Land"
3,"Sonstige_Welt"
4,"Sonstiges_Europa"
5,"Insgesamt_Bevoelkerung"
6,"Ausland_Sonstige"
7,"Sonstige"
