"code","cat"
1,"EingetrLebenspartAufgehoben"
2,"OhneAngabe"
3,"EingetrLebenspartVerstorben"
4,"Ledig"
5,"Verheiratet"
6,"Geschieden"
7,"Verwitwet"
8,"Insgesamt_Bevoelkerung"
9,"EingetrLebenspartnerschaft"
