"code","cat"
1,"Insgesamt_Heizungsart"
2,"Fernheizung"
3,"Einzel_Mehrraumoefen"
4,"Blockheizung"
5,"keine_Heizung"
6,"Etagenheizung"
7,"Zentralheizung"
