"code","cat"
1,"Verheiratet"
2,"Ledig"
3,"OhneAngabe"
4,"EingetrLebenspartAufgehoben"
5,"Geschieden"
6,"EingetrLebenspartVerstorben"
7,"Verwitwet"
8,"Insgesamt_Bevoelkerung"
9,"EingetrLebenspartnerschaft"
