"code","cat"
1,"Insgesamt_Energietraeger"
2,"Strom"
3,"Kohle"
4,"kein_Energietraeger"
5,"Holz_Holzpellets"
6,"Fernwaerme"
7,"Gas"
8,"Solar_Geothermie_Waermepumpen"
9,"Heizoel"
10,"Biomasse_Biogas"
