"code","cat"
1,"a1979bis1990"
2,"a2011bis2019"
3,"a1919bis1948"
4,"Vor1919"
5,"a1949bis1978"
6,"a1991bis2000"
7,"Insgesamt_Gebaeude"
8,"a2020undspaeter"
9,"a2001bis2010"
