"code","cat"
1,"Etagenheizung"
2,"Fernheizung"
3,"Einzel_Mehrraumoefen"
4,"keine_Heizung"
5,"Insgesamt_Heizungsart"
6,"Blockheizung"
7,"Zentralheizung"
