"code","cat"
1,"Heizoel"
2,"Biomasse_Biogas"
3,"Kohle"
4,"kein_Energietraeger"
5,"Strom"
6,"Insgesamt_Energietraeger"
7,"Solar_Geothermie_Waermepumpen"
8,"Gas"
9,"Fernwaerme"
10,"Holz_Holzpellets"
