"code","cat"
1,"EU27_Land"
2,"Ausland_Sonstige"
3,"Sonstige"
4,"Deutschland"
5,"Sonstige_Welt"
6,"Sonstiges_Europa"
7,"Insgesamt_Bevoelkerung"
