"code","cat"
1,"a70bis79"
2,"a20bis29"
3,"a50bis59"
4,"a30bis39"
5,"a10bis19"
6,"a80undaelter"
7,"a60bis69"
8,"a40bis49"
9,"Insgesamt_Bevoelkerung"
10,"Unter10"
